구분,고급휘발유,보통휘발유,자동차용경유,실내등유,보일러등유
18년01월2주,1618.52,1461.08,1262.94,751.39,-
18년01월3주,1619.15,1465.46,1267.92,751.34,-
18년01월4주,1600.94,1449.82,1256.40,752.38,-
18년01월5주,1612.20,1465.85,1271.52,776.66,-
18년02월1주,1613.76,1470.35,1280.37,771.12,-
18년02월2주,1612.28,1461.45,1270.17,768.17,-
18년02월3주,1597.27,1449.38,1258.38,756.97,-
18년02월4주,1573.26,1421.05,1230.32,734.58,-
18년03월1주,1590.39,1452.62,1259.63,772.48,-
18년03월2주,1585.82,1438.70,1242.09,756.94,-
18년03월3주,1586.37,1438.86,1244.60,748.83,-
18년03월4주,1581.73,1425.61,1224.73,730.09,-
18년04월1주,1617.36,1462.11,1272.48,773.62,-
18년04월2주,1617.66,1466.08,1275.19,773.06,-
18년04월3주,1618.72,1469.63,1282.55,778.21,-
18년04월4주,1621.95,1474.91,1286.98,786.45,-
18년05월1주,1624.41,1465.72,1269.18,781.45,-
18년05월2주,1654.86,1509.04,1328.70,827.33,-
18년05월3주,1654.85,1514.93,1331.48,829.58,-
18년05월4주,1684.07,1544.86,1350.99,846.54,-
18년05월5주,1668.71,1516.56,1308.38,808.81,-
18년06월1주,1680.27,1532.11,1337.24,829.75,-
18년06월2주,1656.09,1513.55,1320.62,812.63,-
18년06월3주,1656.60,1512.70,1322.68,814.02,-
18년06월4주,1627.34,1475.74,1284.37,783.28,-
18년07월1주,1655.16,1518.91,1334.60,832.45,-
18년07월2주,1665.80,1530.41,1345.12,835.81,-
18년07월3주,1678.79,1534.94,1347.79,842.62,-
18년07월4주,1659.26,1520.44,1334.49,825.46,-
18년08월1주,1669.36,1512.73,1314.71,823.99,-
18년08월2주,1679.68,1540.17,1353.30,847.03,-
18년08월3주,1680.94,1542.97,1350.99,837.88,-
18년08월4주,1686.91,1543.41,1352.34,839.08,-
18년08월5주,1670.92,1519.27,1316.79,816.35,-
18년09월1주,1691.50,1561.79,1375.44,856.71,-
18년09월2주,1717.65,1579.45,1394.88,877.24,-
18년09월3주,1720.38,1576.23,1390.00,875.63,-
18년09월4주,1715.81,1563.44,1374.48,861.73,-
18년10월1주,1709.79,1570.80,1385.22,879.82,-
18년10월2주,1747.85,1608.93,1441.68,913.52,-
18년10월3주,1742.29,1606.07,1436.50,920.12,-
18년10월4주,1717.00,1580.92,1416.44,900.77,-
18년10월5주,1693.70,1548.58,1388.00,879.78,-
18년11월1주,1577.81,1443.22,1317.86,884.06,-
18년11월2주,1485.99,1357.85,1256.81,856.16,-
18년11월3주,1458.11,1318.68,1224.28,823.94,-
18년11월4주,1396.49,1235.10,1146.93,759.98,-
18년12월1주,1409.64,1261.05,1167.35,779.01,-
18년12월2주,1405.65,1246.14,1150.94,760.84,-
18년12월3주,1395.67,1235.19,1136.08,742.90,-
18년12월4주,1367.53,1212.15,1108.73,719.59,-
19년01월1주,1376.00,1189.38,1076.76,684.42,-
19년01월2주,1377.44,1223.75,1121.24,724.83,-
19년01월3주,1398.46,1237.53,1138.70,736.09,-
19년01월4주,1408.08,1246.64,1148.69,744.36,-
19년01월5주,1407.86,1236.36,1136.14,736.09,-
19년02월1주,1390.11,1236.97,1151.37,741.70,-
19년02월2주,1405.28,1248.06,1161.26,753.51,-
19년02월3주,1424.52,1259.06,1169.40,761.76,-
19년02월4주,1404.06,1257.50,1169.83,758.53,-
19년03월1주,1440.89,1299.51,1209.69,796.32,-
